#mGo	mLSP	Total	TotGenW	Counts	genWeight
2000	600	32362718	32362718.000	20399	20399.000
1950	0	32362718	32362718.000	18856	18856.000
1550	1150	32362718	32362718.000	16125	16125.000
1900	0	32362718	32362718.000	17419	17419.000
1950	1000	32362718	32362718.000	17510	17510.000
1850	1100	32362718	32362718.000	17315	17315.000
2450	400	32362718	32362718.000	16436	16436.000
2800	1400	32362718	32362718.000	16322	16322.000
2600	1000	32362718	32362718.000	20610	20610.000
2750	1300	32362718	32362718.000	16115	16115.000
2150	100	32362718	32362718.000	18687	18687.000
1150	850	32362718	32362718.000	92461	92461.000
2400	1200	32362718	32362718.000	18858	18858.000
2750	300	32362718	32362718.000	15274	15274.000
1350	850	32362718	32362718.000	23404	23404.000
1950	1550	32362718	32362718.000	18932	18932.000
1750	300	32362718	32362718.000	20096	20096.000
2100	500	32362718	32362718.000	19684	19684.000
2800	800	32362718	32362718.000	21782	21782.000
1600	1100	32362718	32362718.000	20667	20667.000
2550	100	32362718	32362718.000	17210	17210.000
1850	1550	32362718	32362718.000	23660	23660.000
1450	0	32362718	32362718.000	19803	19803.000
2600	1300	32362718	32362718.000	17400	17400.000
2450	1600	32362718	32362718.000	20355	20355.000
1750	1525	32362718	32362718.000	20797	20797.000
2500	0	32362718	32362718.000	16106	16106.000
2400	1600	32362718	32362718.000	14870	14870.000
1450	900	32362718	32362718.000	18541	18541.000
1900	1100	32362718	32362718.000	20191	20191.000
1450	1200	32362718	32362718.000	16201	16201.000
1100	300	32362718	32362718.000	134248	134248.000
1350	800	32362718	32362718.000	26326	26326.000
1550	1325	32362718	32362718.000	19612	19612.000
2700	600	32362718	32362718.000	21704	21704.000
2350	300	32362718	32362718.000	17410	17410.000
1900	100	32362718	32362718.000	19032	19032.000
1850	900	32362718	32362718.000	17289	17289.000
2450	1550	32362718	32362718.000	17630	17630.000
2350	1300	32362718	32362718.000	19923	19923.000
1550	1250	32362718	32362718.000	18043	18043.000
1850	300	32362718	32362718.000	14778	14778.000
1300	400	32362718	32362718.000	35852	35852.000
2800	1600	32362718	32362718.000	19002	19002.000
2250	900	32362718	32362718.000	19120	19120.000
1500	400	32362718	32362718.000	20588	20588.000
1800	300	32362718	32362718.000	21498	21498.000
1500	700	32362718	32362718.000	22617	22617.000
2550	800	32362718	32362718.000	20486	20486.000
2550	1550	32362718	32362718.000	17814	17814.000
1550	1050	32362718	32362718.000	20762	20762.000
1750	1000	32362718	32362718.000	20418	20418.000
1650	850	32362718	32362718.000	15176	15176.000
900	450	32362718	32362718.000	145289	145289.000
850	350	32362718	32362718.000	136452	136452.000
1200	300	32362718	32362718.000	68530	68530.000
1600	200	32362718	32362718.000	21615	21615.000
2700	400	32362718	32362718.000	19363	19363.000
1250	850	32362718	32362718.000	48094	48094.000
2550	200	32362718	32362718.000	14656	14656.000
1300	450	32362718	32362718.000	33422	33422.000
1250	900	32362718	32362718.000	43490	43490.000
1650	1200	32362718	32362718.000	18015	18015.000
1500	750	32362718	32362718.000	16956	16956.000
1500	650	32362718	32362718.000	16316	16316.000
2750	1400	32362718	32362718.000	14273	14273.000
1400	1150	32362718	32362718.000	21028	21028.000
2300	1600	32362718	32362718.000	19713	19713.000
2350	700	32362718	32362718.000	20066	20066.000
2650	400	32362718	32362718.000	15864	15864.000
2100	600	32362718	32362718.000	17186	17186.000
1400	550	32362718	32362718.000	18877	18877.000
2100	1000	32362718	32362718.000	14643	14643.000
2500	600	32362718	32362718.000	16891	16891.000
2750	1000	32362718	32362718.000	13713	13713.000
1100	850	32362718	32362718.000	129224	129224.000
