#mGo	mLSP	Total	TotGenW	Counts	genWeight
2300	1400	30642206	30642206.000	20251	20251.000
2400	1000	30642206	30642206.000	16475	16475.000
1850	1600	30642206	30642206.000	14587	14587.000
1750	950	30642206	30642206.000	15411	15411.000
2550	1850	30642206	30642206.000	13783	13783.000
2050	1450	30642206	30642206.000	19422	19422.000
1850	1000	30642206	30642206.000	19120	19120.000
1700	1100	30642206	30642206.000	14985	14985.000
2050	1900	30642206	30642206.000	19311	19311.000
1850	1450	30642206	30642206.000	12503	12503.000
1100	950	30642206	30642206.000	115074	115074.000
2450	1450	30642206	30642206.000	11896	11896.000
1100	500	30642206	30642206.000	117342	117342.000
2250	1450	30642206	30642206.000	17412	17412.000
2450	700	30642206	30642206.000	15487	15487.000
2200	1200	30642206	30642206.000	11551	11551.000
1700	750	30642206	30642206.000	16883	16883.000
1250	0	30642206	30642206.000	39501	39501.000
2550	1800	30642206	30642206.000	16752	16752.000
1250	600	30642206	30642206.000	40237	40237.000
1500	1050	30642206	30642206.000	16296	16296.000
2000	1875	30642206	30642206.000	19871	19871.000
1450	450	30642206	30642206.000	16180	16180.000
2400	1750	30642206	30642206.000	16009	16009.000
1300	1100	30642206	30642206.000	33326	33326.000
2400	1850	30642206	30642206.000	17363	17363.000
2450	1400	30642206	30642206.000	15122	15122.000
1350	550	30642206	30642206.000	19900	19900.000
900	750	30642206	30642206.000	128471	128471.000
2300	0	30642206	30642206.000	15710	15710.000
2350	1200	30642206	30642206.000	14277	14277.000
1550	100	30642206	30642206.000	15041	15041.000
1000	550	30642206	30642206.000	125161	125161.000
2600	1700	30642206	30642206.000	14742	14742.000
700	550	30642206	30642206.000	126302	126302.000
1700	1450	30642206	30642206.000	15676	15676.000
2000	1800	30642206	30642206.000	17123	17123.000
1900	1600	30642206	30642206.000	12567	12567.000
2200	1350	30642206	30642206.000	18267	18267.000
1800	1500	30642206	30642206.000	14941	14941.000
2450	900	30642206	30642206.000	18740	18740.000
1550	600	30642206	30642206.000	16267	16267.000
2400	1900	30642206	30642206.000	14949	14949.000
1800	1400	30642206	30642206.000	15616	15616.000
2150	300	30642206	30642206.000	17238	17238.000
1250	750	30642206	30642206.000	42032	42032.000
850	500	30642206	30642206.000	124746	124746.000
850	650	30642206	30642206.000	118399	118399.000
2100	800	30642206	30642206.000	18677	18677.000
1850	1550	30642206	30642206.000	16426	16426.000
2400	700	30642206	30642206.000	14266	14266.000
1850	500	30642206	30642206.000	18275	18275.000
1800	1150	30642206	30642206.000	14379	14379.000
1050	800	30642206	30642206.000	122671	122671.000
1850	950	30642206	30642206.000	12504	12504.000
2550	600	30642206	30642206.000	16941	16941.000
1750	1600	30642206	30642206.000	15382	15382.000
2300	1300	30642206	30642206.000	15273	15273.000
1900	500	30642206	30642206.000	18373	18373.000
750	600	30642206	30642206.000	128257	128257.000
1750	800	30642206	30642206.000	16023	16023.000
1800	850	30642206	30642206.000	15266	15266.000
2350	1350	30642206	30642206.000	16676	16676.000
2300	100	30642206	30642206.000	16292	16292.000
1400	700	30642206	30642206.000	15144	15144.000
1200	200	30642206	30642206.000	56909	56909.000
2500	1400	30642206	30642206.000	16461	16461.000
1600	850	30642206	30642206.000	16710	16710.000
900	400	30642206	30642206.000	120739	120739.000
1350	500	30642206	30642206.000	27291	27291.000
1800	600	30642206	30642206.000	15711	15711.000
2000	500	30642206	30642206.000	16756	16756.000
2200	1750	30642206	30642206.000	14051	14051.000
2350	600	30642206	30642206.000	17097	17097.000
1800	500	30642206	30642206.000	16347	16347.000
1450	700	30642206	30642206.000	16508	16508.000
1950	1600	30642206	30642206.000	14760	14760.000
1450	1000	30642206	30642206.000	18584	18584.000
1300	1175	30642206	30642206.000	30712	30712.000
1500	100	30642206	30642206.000	14703	14703.000
1300	950	30642206	30642206.000	33503	33503.000
1750	1100	30642206	30642206.000	16118	16118.000
1500	1000	30642206	30642206.000	18651	18651.000
2500	1650	30642206	30642206.000	16396	16396.000
1100	650	30642206	30642206.000	112288	112288.000
1650	650	30642206	30642206.000	16091	16091.000
2600	1500	30642206	30642206.000	17896	17896.000
1100	200	30642206	30642206.000	106708	106708.000
1350	900	30642206	30642206.000	25053	25053.000
2300	1700	30642206	30642206.000	12953	12953.000
2500	200	30642206	30642206.000	17139	17139.000
2250	1000	30642206	30642206.000	18631	18631.000
2450	600	30642206	30642206.000	12660	12660.000
1950	1150	30642206	30642206.000	16895	16895.000
2500	700	30642206	30642206.000	18494	18494.000
2600	600	30642206	30642206.000	14468	14468.000
1750	900	30642206	30642206.000	16696	16696.000
2300	500	30642206	30642206.000	15772	15772.000
2500	1750	30642206	30642206.000	13316	13316.000
2150	1900	30642206	30642206.000	19747	19747.000
2050	600	30642206	30642206.000	19804	19804.000
2200	1650	30642206	30642206.000	16934	16934.000
1650	1050	30642206	30642206.000	18751	18751.000
1400	850	30642206	30642206.000	17441	17441.000
1350	100	30642206	30642206.000	25371	25371.000
2250	1850	30642206	30642206.000	14920	14920.000
1750	100	30642206	30642206.000	17190	17190.000
2550	1500	30642206	30642206.000	18275	18275.000
1300	0	30642206	30642206.000	31425	31425.000
2300	1550	30642206	30642206.000	16867	16867.000
1950	300	30642206	30642206.000	16809	16809.000
2500	1900	30642206	30642206.000	18245	18245.000
1950	1200	30642206	30642206.000	15095	15095.000
1800	700	30642206	30642206.000	16277	16277.000
2200	1800	30642206	30642206.000	13786	13786.000
1650	200	30642206	30642206.000	15125	15125.000
1400	100	30642206	30642206.000	11572	11572.000
1400	500	30642206	30642206.000	15706	15706.000
1800	1675	30642206	30642206.000	14795	14795.000
2600	100	30642206	30642206.000	14936	14936.000
900	100	30642206	30642206.000	120643	120643.000
900	550	30642206	30642206.000	129744	129744.000
2550	0	30642206	30642206.000	17621	17621.000
1250	1000	30642206	30642206.000	48767	48767.000
2000	1000	30642206	30642206.000	14837	14837.000
1150	1000	30642206	30642206.000	87720	87720.000
2250	1900	30642206	30642206.000	15616	15616.000
2600	1750	30642206	30642206.000	16459	16459.000
2200	1400	30642206	30642206.000	12385	12385.000
1800	1650	30642206	30642206.000	17596	17596.000
2350	1500	30642206	30642206.000	17708	17708.000
2350	1550	30642206	30642206.000	18205	18205.000
