#mGo	mLSP	Total	TotGenW	Counts	genWeight
2250	1450	21137386	21137386.000	10563	10563.000
2450	700	21137386	21137386.000	7396	7396.000
2200	1200	21137386	21137386.000	12606	12606.000
1700	750	21137386	21137386.000	12118	12118.000
1250	0	21137386	21137386.000	19675	19675.000
2550	1800	21137386	21137386.000	9699	9699.000
1250	600	21137386	21137386.000	23105	23105.000
1500	1050	21137386	21137386.000	13760	13760.000
2000	1875	21137386	21137386.000	10691	10691.000
1450	450	21137386	21137386.000	10831	10831.000
2400	1750	21137386	21137386.000	9999	9999.000
1300	1100	21137386	21137386.000	18385	18385.000
2400	1850	21137386	21137386.000	12951	12951.000
2450	1400	21137386	21137386.000	12615	12615.000
1350	550	21137386	21137386.000	14239	14239.000
900	750	21137386	21137386.000	92362	92362.000
2300	0	21137386	21137386.000	4852	4852.000
2350	1200	21137386	21137386.000	9664	9664.000
1550	100	21137386	21137386.000	8658	8658.000
1000	550	21137386	21137386.000	90641	90641.000
2600	1700	21137386	21137386.000	12349	12349.000
700	550	21137386	21137386.000	92698	92698.000
1700	1450	21137386	21137386.000	9626	9626.000
2000	1800	21137386	21137386.000	11464	11464.000
1900	1600	21137386	21137386.000	7043	7043.000
2200	1350	21137386	21137386.000	10021	10021.000
1800	1500	21137386	21137386.000	8221	8221.000
2450	900	21137386	21137386.000	12403	12403.000
1550	600	21137386	21137386.000	14943	14943.000
2400	1900	21137386	21137386.000	17622	17622.000
1800	1400	21137386	21137386.000	10582	10582.000
2150	300	21137386	21137386.000	8531	8531.000
1250	750	21137386	21137386.000	30601	30601.000
850	500	21137386	21137386.000	90580	90580.000
850	650	21137386	21137386.000	105979	105979.000
2100	800	21137386	21137386.000	9955	9955.000
1850	1550	21137386	21137386.000	11702	11702.000
2400	700	21137386	21137386.000	5278	5278.000
1850	500	21137386	21137386.000	8972	8972.000
1800	1150	21137386	21137386.000	13250	13250.000
1050	800	21137386	21137386.000	97861	97861.000
1850	950	21137386	21137386.000	11737	11737.000
2550	600	21137386	21137386.000	10422	10422.000
1750	1600	21137386	21137386.000	16437	16437.000
2300	1300	21137386	21137386.000	16323	16323.000
1900	500	21137386	21137386.000	8570	8570.000
750	600	21137386	21137386.000	104375	104375.000
1750	800	21137386	21137386.000	7750	7750.000
1800	850	21137386	21137386.000	13347	13347.000
2350	1350	21137386	21137386.000	10111	10111.000
2300	100	21137386	21137386.000	9673	9673.000
1400	700	21137386	21137386.000	10561	10561.000
1200	200	21137386	21137386.000	41319	41319.000
2500	1400	21137386	21137386.000	15055	15055.000
1600	850	21137386	21137386.000	9711	9711.000
900	400	21137386	21137386.000	91043	91043.000
1350	500	21137386	21137386.000	17248	17248.000
1800	600	21137386	21137386.000	10778	10778.000
2000	500	21137386	21137386.000	8366	8366.000
