#mGo	mLSP	Total	TotGenW	Counts	genWeight
2650	1000	44775926	44775926.000	20387	20387.000
1550	650	44775926	44775926.000	24290	24290.000
1900	1300	44775926	44775926.000	25205	25205.000
600	300	44775926	44775926.000	569032	569032.000
1200	750	44775926	44775926.000	87376	87376.000
1700	400	44775926	44775926.000	26861	26861.000
2750	0	44775926	44775926.000	26543	26543.000
1000	750	44775926	44775926.000	193310	193310.000
1400	200	44775926	44775926.000	25901	25901.000
2100	1400	44775926	44775926.000	22475	22475.000
2350	900	44775926	44775926.000	34831	34831.000
1450	300	44775926	44775926.000	25311	25311.000
1450	600	44775926	44775926.000	35065	35065.000
2400	400	44775926	44775926.000	21808	21808.000
2650	100	44775926	44775926.000	30981	30981.000
1500	0	44775926	44775926.000	24878	24878.000
800	350	44775926	44775926.000	196281	196281.000
1500	300	44775926	44775926.000	22787	22787.000
1900	200	44775926	44775926.000	19717	19717.000
2250	700	44775926	44775926.000	21686	21686.000
2050	200	44775926	44775926.000	24665	24665.000
1700	0	44775926	44775926.000	26975	26975.000
1500	900	44775926	44775926.000	25661	25661.000
1750	600	44775926	44775926.000	22758	22758.000
2650	300	44775926	44775926.000	19378	19378.000
950	400	44775926	44775926.000	179069	179069.000
2100	1450	44775926	44775926.000	25208	25208.000
1800	1000	44775926	44775926.000	22874	22874.000
2700	800	44775926	44775926.000	25429	25429.000
2150	1550	44775926	44775926.000	23875	23875.000
2600	400	44775926	44775926.000	17148	17148.000
1800	100	44775926	44775926.000	25498	25498.000
2800	1100	44775926	44775926.000	22977	22977.000
1700	1300	44775926	44775926.000	30061	30061.000
2450	1100	44775926	44775926.000	23789	23789.000
1900	900	44775926	44775926.000	27748	27748.000
2500	1000	44775926	44775926.000	29709	29709.000
2400	300	44775926	44775926.000	19035	19035.000
1000	0	44775926	44775926.000	176551	176551.000
1750	400	44775926	44775926.000	27187	27187.000
2100	1550	44775926	44775926.000	23457	23457.000
1950	1500	44775926	44775926.000	25862	25862.000
1200	0	44775926	44775926.000	83528	83528.000
2450	1300	44775926	44775926.000	22055	22055.000
1050	650	44775926	44775926.000	204915	204915.000
2250	0	44775926	44775926.000	27900	27900.000
2600	200	44775926	44775926.000	32317	32317.000
1200	600	44775926	44775926.000	87590	87590.000
2150	1150	44775926	44775926.000	22153	22153.000
2150	1400	44775926	44775926.000	19677	19677.000
2300	600	44775926	44775926.000	18404	18404.000
2700	300	44775926	44775926.000	27420	27420.000
2650	500	44775926	44775926.000	27850	27850.000
2650	600	44775926	44775926.000	20109	20109.000
2350	100	44775926	44775926.000	13500	13500.000
2800	1300	44775926	44775926.000	20982	20982.000
1700	1050	44775926	44775926.000	23208	23208.000
2700	500	44775926	44775926.000	27120	27120.000
1750	700	44775926	44775926.000	25942	25942.000
2700	700	44775926	44775926.000	27272	27272.000
1650	300	44775926	44775926.000	21559	21559.000
1900	800	44775926	44775926.000	14929	14929.000
1700	100	44775926	44775926.000	28409	28409.000
1550	550	44775926	44775926.000	20254	20254.000
800	550	44775926	44775926.000	194253	194253.000
800	400	44775926	44775926.000	182836	182836.000
1800	850	44775926	44775926.000	17792	17792.000
800	100	44775926	44775926.000	187806	187806.000
1850	400	44775926	44775926.000	23441	23441.000
1600	1000	44775926	44775926.000	29774	29774.000
1600	700	44775926	44775926.000	20385	20385.000
1950	1100	44775926	44775926.000	23212	23212.000
1400	1000	44775926	44775926.000	18938	18938.000
1550	1200	44775926	44775926.000	22378	22378.000
1800	1550	44775926	44775926.000	27734	27734.000
2550	1500	44775926	44775926.000	27389	27389.000
1400	400	44775926	44775926.000	23861	23861.000
1950	1250	44775926	44775926.000	30023	30023.000
1950	200	44775926	44775926.000	24734	24734.000
2300	1000	44775926	44775926.000	15785	15785.000
2300	900	44775926	44775926.000	23848	23848.000
2050	1100	44775926	44775926.000	31465	31465.000
2250	1600	44775926	44775926.000	21174	21174.000
2050	1550	44775926	44775926.000	24632	24632.000
